,headline_text
0,aba decides against community broadcasting licence
1,act fire witnesses must be aware of defamation
2,a g calls for infrastructure protection summit
3,air nz staff in aust strike for pay rise
4,air nz strike to affect australian travellers
5,ambitious olsson wins triple jump
6,antic delighted with record breaking barca
7,aussie qualifier stosur wastes four memphis match
8,aust addresses un security council over iraq
9,australia is locked into war timetable opp
10,australia to contribute 10 million in aid to iraq
11,barca take record as robson celebrates birthday in
12,bathhouse plans move ahead
13,big hopes for launceston cycling championship
14,big plan to boost paroo water supplies
15,blizzard buries united states in bills
16,brigadier dismisses reports troops harassed in
17,british combat troops arriving daily in kuwait
18,bryant leads lakers to double overtime win
19,bushfire victims urged to see centrelink
20,businesses should prepare for terrorist attacks
21,calleri avenges final defeat to eliminate massu
22,call for ethanol blend fuel to go ahead
23,carews freak goal leaves roma in ruins
24,cemeteries miss out on funds
25,code of conduct toughens organ donation regulations
26,commonwealth bank cuts fixed home loan rates
27,community urged to help homeless youth
28,council chief executive fails to secure position
29,councillor to contest wollongong as independent
30,council moves to protect tas heritage garden
31,council welcomes ambulance levy decision
32,council welcomes insurance breakthrough
33,crean tells alp leadership critics to shut up
34,dargo fire threat expected to rise
35,death toll continues to climb in south korean subway
36,dems hold plebiscite over iraqi conflict
37,dent downs philippoussis in tie break thriller
38,de villiers to learn fate on march 5
39,digital tv will become commonplace summit
40,direct anger at govt not soldiers crean urges
41,dispute over at smithton vegetable processing plant
42,dog mauls 18 month old toddler in nsw
43,dying korean subway passengers phoned for help
44,england change three for wales match
45,epa still trying to recover chemical clean up costs
46,expressions of interest sought to build livestock
47,fed opp to re introduce national insurance
48,firefighters contain acid spill
49,four injured in head on highway crash
50,freedom records net profit for third successive
51,funds allocated for domestic violence victims
52,funds allocated for youth at risk
53,funds announced for bridge work
54,funds to go to cadell upgrade
55,funds to help restore cossack
56,german court to give verdict on sept 11 accused
57,gilchrist backs rest policy
58,girl injured in head on highway crash
59,gold coast to hear about bilby project
60,golf club feeling smoking ban impact
61,govt is to blame for ethanols unpopularity opp
62,greens offer police station alternative
63,griffiths under fire over project knock back
64,group to meet in north west wa over rock art
65,hacker gains access to eight million credit cards
66,hanson is grossly naive over nsw issues costa
67,hanson should go back where she came from nsw mp
68,harrington raring to go after break
69,health minister backs organ and tissue storage
70,heavy metal deposits survey nearing end
71,injured rios pulls out of buenos aires open
72,inquest finds mans death accidental
73,investigations underway into death toll of korean
74,investigation underway into elster creek spill
75,iraqs neighbours plead for continued un inspections
76,iraq to pay for own rebuilding white house
77,irish man arrested over omagh bombing
78,irrigators vote over river management
79,israeli forces push into gaza strip
